"","items","count","total","rnd","customer","age","city","paymentType"
"24","sausage,bottled beer,liquor (appetizer)",3,2461,11,"Hanan",22,"Fayoum","Credit"
"25","curd,rolls/buns",2,1076,11,"Hanan",22,"Fayoum","Cash"
"26","canned beer",1,1961,11,"Hanan",22,"Fayoum","Credit"
"27","pork,root vegetables,other vegetables,whole milk,dishes",5,1702,11,"Hanan",22,"Fayoum","Cash"
"28","pot plants",1,876,11,"Hanan",22,"Fayoum","Cash"
"29","sausage,soda,newspapers,shopping bags",4,1961,1,"Farida",22,"Cairo","Credit"
"30","meat,other vegetables,butter,rolls/buns",4,2413,11,"Hanan",22,"Fayoum","Cash"
"31","ice cream",1,2186,11,"Hanan",22,"Fayoum","Credit"
"32","frankfurter,rolls/buns,bottled water,fruit/vegetable juice,hygiene articles",5,906,11,"Hanan",22,"Fayoum","Cash"
"33","chicken,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,rolls/buns,pasta,soda,waffles",11,2371,11,"Hanan",22,"Fayoum","Credit"
"34","sausage",1,2035,11,"Hanan",22,"Fayoum","Credit"
"35","sausage,chicken,tropical fruit,root vegetables,whole milk,yogurt,candy,abrasive cleaner,cleaner",9,140,1,"Farida",22,"Cairo","Credit"
"36","chicken,whole milk,spices,long life bakery product,shopping bags",5,416,11,"Hanan",22,"Fayoum","Cash"
"37","pork,citrus fruit,brown bread,pastry,sugar,cat food",6,1112,1,"Farida",22,"Cairo","Credit"
"38","meat,hard cheese,bottled beer",3,143,11,"Hanan",22,"Fayoum","Cash"
"39","other vegetables,yogurt,brown bread,instant coffee",4,591,11,"Hanan",22,"Fayoum","Credit"
"40","grapes,root vegetables",2,1798,1,"Farida",22,"Cairo","Credit"
"41","hamburger meat,white bread,salty snack",3,923,11,"Hanan",22,"Fayoum","Cash"
"42","yogurt",1,1761,11,"Hanan",22,"Fayoum","Cash"
"43","bottled water",1,1098,1,"Farida",22,"Cairo","Credit"
"44","rolls/buns,bottled beer",2,107,1,"Farida",22,"Cairo","Credit"
"45","citrus fruit,whole milk,curd,soft cheese",4,1396,1,"Farida",22,"Cairo","Credit"
"46","berries,coffee",2,1274,11,"Hanan",22,"Fayoum","Credit"
"47","ham,citrus fruit,whole milk,whipped/sour cream,rolls/buns,pastry,waffles,hygiene articles",8,1893,11,"Hanan",22,"Fayoum","Cash"
"48","onions,butter,whipped/sour cream,hard cheese,frozen vegetables,pasta,specialty fat,syrup,candy,napkins,cling film/bags",11,400,11,"Hanan",22,"Fayoum","Credit"
"49","hamburger meat,hard cheese,frozen meals,pasta,dog food,salty snack,shopping bags",7,1985,11,"Hanan",22,"Fayoum","Credit"
"50","sausage,liver loaf,other vegetables,cream cheese ,pastry,soap,shopping bags",7,674,1,"Farida",22,"Cairo","Credit"
"51","hard cheese,pastry,napkins",3,1819,1,"Farida",22,"Cairo","Credit"
"52","hamburger meat",1,1404,11,"Hanan",22,"Fayoum","Credit"
"53","meat,other vegetables,whole milk,whipped/sour cream",4,1385,11,"Hanan",22,"Fayoum","Cash"
"54","bottled water",1,2445,11,"Hanan",22,"Fayoum","Cash"
"55","domestic eggs,rolls/buns,specialty bar,napkins",4,1562,11,"Hanan",22,"Fayoum","Cash"
"56","tropical fruit,other vegetables,rolls/buns",3,2455,1,"Farida",22,"Cairo","Credit"
"57","soda",1,1126,1,"Farida",22,"Cairo","Cash"
"58","tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,hard cheese,frozen dessert,rice,bottled water",8,1050,1,"Farida",22,"Cairo","Credit"
"59","pork,onions,whole milk,butter,rolls/buns,pastry,rum,hygiene articles",8,1076,11,"Hanan",22,"Fayoum","Credit"
"60","hamburger meat,whole milk,curd,pasta,canned beer",5,2487,11,"Hanan",22,"Fayoum","Credit"
"61","white wine,detergent",2,1318,11,"Hanan",22,"Fayoum","Credit"
"62","soda,misc. beverages",2,373,1,"Farida",22,"Cairo","Cash"
"63","domestic eggs",1,1143,1,"Farida",22,"Cairo","Cash"
"64","bottled beer",1,430,1,"Farida",22,"Cairo","Credit"
"65","pork,beef,berries,packaged fruit/vegetables,whole milk,mayonnaise,frozen fish,frozen potato products,oil,mustard,cat food,coffee,soda,chocolate,dish cleaner,napkins,newspapers",17,267,11,"Hanan",22,"Fayoum","Cash"
"66","frankfurter",1,1627,1,"Farida",22,"Cairo","Credit"
"67","frankfurter,tropical fruit,pip fruit,curd,UHT-milk,hard cheese,domestic eggs,rolls/buns,hygiene articles,napkins,shopping bags",11,431,1,"Farida",22,"Cairo","Cash"
"68","other vegetables",1,335,1,"Farida",22,"Cairo","Credit"
"69","yogurt,fruit/vegetable juice,newspapers",3,446,11,"Hanan",22,"Fayoum","Cash"
"70","butter,fruit/vegetable juice,newspapers",3,588,11,"Hanan",22,"Fayoum","Credit"
"71","other vegetables,whole milk,yogurt,domestic eggs,bottled water,soda",6,1082,1,"Farida",22,"Cairo","Cash"
"72","beverages",1,1819,11,"Hanan",22,"Fayoum","Credit"
"73","hamburger meat,root vegetables,other vegetables,domestic eggs,roll products ,oil,margarine,hygiene articles",8,2365,1,"Farida",22,"Cairo","Cash"
"74","hamburger meat,UHT-milk,salty snack",3,344,11,"Hanan",22,"Fayoum","Credit"
"75","frankfurter,whole milk,rolls/buns,margarine,baking powder,bottled beer",6,2244,11,"Hanan",22,"Fayoum","Credit"
"76","chicken,pastry",2,1185,1,"Farida",22,"Cairo","Credit"
"77","whipped/sour cream,pastry,specialty bar",3,556,11,"Hanan",22,"Fayoum","Credit"
"78","canned beer",1,545,1,"Farida",22,"Cairo","Credit"
"79","pip fruit,butter,frozen meals,pasta,bottled water",5,2424,11,"Hanan",22,"Fayoum","Credit"
"80","tropical fruit,curd,yogurt,rolls/buns,brown bread,bottled water,bottled beer,seasonal products",8,1669,1,"Farida",22,"Cairo","Credit"
"81","beef,citrus fruit,curd,rolls/buns,oil,margarine,specialty bar,detergent,newspapers",9,2367,11,"Hanan",22,"Fayoum","Credit"
"82","rolls/buns",1,186,11,"Hanan",22,"Fayoum","Credit"
"83","meat,beef,herbs,whole milk,frozen dessert,rolls/buns,semi-finished bread,flour,oil,coffee,pot plants",11,2400,1,"Farida",22,"Cairo","Cash"
"84","rolls/buns,pastry,newspapers",3,1763,11,"Hanan",22,"Fayoum","Cash"
"85","rolls/buns,bottled beer,newspapers",3,1860,1,"Farida",22,"Cairo","Cash"
"86","sausage,root vegetables,other vegetables,rolls/buns,soda",5,639,1,"Farida",22,"Cairo","Cash"
"87","frankfurter,hamburger meat,whole milk,rolls/buns,potato products,mustard,coffee,waffles,chocolate marshmallow,soap,newspapers",11,898,11,"Hanan",22,"Fayoum","Cash"
"88","pork,whole milk,whipped/sour cream,beverages",4,906,1,"Farida",22,"Cairo","Credit"
"89","yogurt,pastry,coffee",3,2284,11,"Hanan",22,"Fayoum","Credit"
"90","detergent",1,1326,11,"Hanan",22,"Fayoum","Credit"
"91","pork,UHT-milk,bottled water,soda,canned beer",5,207,1,"Farida",22,"Cairo","Cash"
"92","frankfurter,beef,butter",3,768,11,"Hanan",22,"Fayoum","Cash"
"93","sausage,other vegetables,whole milk,curd,hard cheese,soda,candy,newspapers",8,1216,11,"Hanan",22,"Fayoum","Cash"
"94","citrus fruit,curd,yogurt,sliced cheese,rolls/buns,oil,bottled water",7,1775,1,"Farida",22,"Cairo","Credit"
"95","beef",1,797,11,"Hanan",22,"Fayoum","Credit"
"96","beef,tropical fruit,root vegetables,yogurt",4,664,1,"Farida",22,"Cairo","Cash"
"97","bottled beer",1,836,1,"Farida",22,"Cairo","Credit"
"98","sausage,rolls/buns,soda,canned beer,shopping bags",5,698,11,"Hanan",22,"Fayoum","Credit"
"99","berries,other vegetables,whole milk,whipped/sour cream",4,550,1,"Farida",22,"Cairo","Cash"
"100","whole milk,dessert",2,105,11,"Hanan",22,"Fayoum","Credit"
"101","chicken,UHT-milk,rolls/buns,coffee,long life bakery product,house keeping products",6,794,11,"Hanan",22,"Fayoum","Cash"
"102","pet care,bottled water",2,1202,1,"Farida",22,"Cairo","Cash"
"103","root vegetables,other vegetables,soda,shopping bags",4,1553,11,"Hanan",22,"Fayoum","Cash"
"104","citrus fruit,tropical fruit,grapes,yogurt,rolls/buns,margarine,canned fruit,bottled water,soda,misc. beverages,candy,female sanitary products,shopping bags",13,2141,11,"Hanan",22,"Fayoum","Credit"
"105","whole milk,pastry,bottled water,newspapers,photo/film",5,2236,11,"Hanan",22,"Fayoum","Credit"
"106","canned beer",1,1769,11,"Hanan",22,"Fayoum","Cash"
"107","citrus fruit,grapes,whole milk,rolls/buns,pastry,oil,margarine,candles,newspapers",9,495,1,"Farida",22,"Cairo","Credit"
"108","cream cheese ,spread cheese,rolls/buns",3,1950,11,"Hanan",22,"Fayoum","Credit"
"109","specialty bar",1,768,1,"Farida",22,"Cairo","Cash"
"110","meat,other vegetables,whole milk,beverages,rolls/buns,margarine,chocolate,napkins,newspapers",9,543,1,"Farida",22,"Cairo","Credit"
"111","whole milk,yogurt",2,1233,1,"Farida",22,"Cairo","Cash"
"112","berries,whole milk,whipped/sour cream,margarine,organic products,fruit/vegetable juice,shopping bags",7,343,11,"Hanan",22,"Fayoum","Cash"
"113","beef,root vegetables,bottled beer,chocolate,shopping bags",5,1737,11,"Hanan",22,"Fayoum","Credit"
"114","packaged fruit/vegetables,pickled vegetables",2,1178,11,"Hanan",22,"Fayoum","Credit"
"115","fruit/vegetable juice",1,2356,11,"Hanan",22,"Fayoum","Cash"
"116","chicken,hamburger meat,UHT-milk,soda,canned beer,bathroom cleaner,newspapers",7,268,11,"Hanan",22,"Fayoum","Credit"
"117","whole milk,cake bar,newspapers",3,964,1,"Farida",22,"Cairo","Credit"
"118","soda",1,1803,1,"Farida",22,"Cairo","Cash"
"119","ham,citrus fruit,whole milk,dessert,frozen meals,coffee,popcorn,shopping bags",8,116,11,"Hanan",22,"Fayoum","Cash"
"120","bottled water,soda,fruit/vegetable juice,bottled beer,napkins",5,338,1,"Farida",22,"Cairo","Credit"
"121","sausage,citrus fruit,whole milk,yogurt,rolls/buns,bottled water,soda,napkins",8,1533,1,"Farida",22,"Cairo","Credit"
"122","frozen fish,newspapers",2,597,11,"Hanan",22,"Fayoum","Credit"
"123","other vegetables,chewing gum",2,2282,1,"Farida",22,"Cairo","Cash"
"124","other vegetables,butter milk,frozen fish,salty snack",4,1258,1,"Farida",22,"Cairo","Cash"
"125","frankfurter,chicken,pork,tropical fruit,root vegetables,other vegetables,yogurt,UHT-milk,mayonnaise,brown bread,pastry,flour,mustard,coffee,cocoa drinks,fruit/vegetable juice,salty snack,long life bakery product,chocolate,seasonal products",20,1244,11,"Hanan",22,"Fayoum","Credit"
"126","pip fruit,root vegetables,dessert,yogurt,domestic eggs,shopping bags",6,1871,1,"Farida",22,"Cairo","Cash"
"127","citrus fruit,other vegetables,whole milk,curd,yogurt,whipped/sour cream,cream cheese ,pastry,vinegar,oil,coffee,long life bakery product,detergent,cleaner,napkins,newspapers",16,1391,1,"Farida",22,"Cairo","Cash"
"128","light bulbs",1,827,1,"Farida",22,"Cairo","Cash"
"129","pork,tropical fruit,other vegetables,yogurt,semi-finished bread,flour,margarine,artif. sweetener,organic products,chocolate marshmallow",10,1684,1,"Farida",22,"Cairo","Credit"
"130","whole milk,rice",2,751,1,"Farida",22,"Cairo","Credit"
"131","canned beer,specialty chocolate,candy,shopping bags",4,497,1,"Farida",22,"Cairo","Cash"
"132","pip fruit,curd,dessert,yogurt,specialty chocolate,specialty bar,newspapers,shopping bags",8,2357,1,"Farida",22,"Cairo","Cash"
"133","coffee,misc. beverages,bottled beer",3,2452,1,"Farida",22,"Cairo","Cash"
"134","canned vegetables",1,1136,1,"Farida",22,"Cairo","Cash"
"135","grapes,yogurt,UHT-milk,soft cheese,rolls/buns,fruit/vegetable juice,candy,dental care,newspapers,shopping bags",10,298,1,"Farida",22,"Cairo","Credit"
"136","whole milk,rolls/buns,roll products ,zwieback,bottled beer",5,734,1,"Farida",22,"Cairo","Credit"
"137","grapes,other vegetables,whole milk,butter,toilet cleaner,newspapers",6,2369,11,"Hanan",22,"Fayoum","Cash"
"138","sausage,other vegetables,whole milk,sliced cheese,white bread,baking powder,pickled vegetables,rum",8,1575,1,"Farida",22,"Cairo","Cash"
"139","bottled water,soda,fruit/vegetable juice,long life bakery product,chewing gum,candy",6,2268,11,"Hanan",22,"Fayoum","Credit"
"140","specialty cheese",1,1439,11,"Hanan",22,"Fayoum","Credit"
"141","frankfurter,tropical fruit,dessert,pastry,flour,margarine,sugar,artif. sweetener,sauces,rum,skin care",11,1204,1,"Farida",22,"Cairo","Credit"
"142","chicken,tropical fruit,whole milk,condensed milk,soft cheese,processed cheese,domestic eggs,white bread,pastry,semi-finished bread,soda,long life bakery product,waffles,specialty chocolate,napkins,dishes,kitchen towels,shopping bags",18,1798,11,"Hanan",22,"Fayoum","Cash"
"143","cookware",1,2374,1,"Farida",22,"Cairo","Credit"
"144","citrus fruit,yogurt,UHT-milk,cream cheese ,dish cleaner,house keeping products,shopping bags",7,2264,1,"Farida",22,"Cairo","Cash"
"145","tropical fruit,pip fruit,other vegetables,cream cheese ,soda,bottled beer",6,1727,1,"Farida",22,"Cairo","Credit"
"146","ice cream,misc. beverages,canned beer,napkins,shopping bags",5,1182,1,"Farida",22,"Cairo","Cash"
"147","finished products,other vegetables,soda,fruit/vegetable juice",4,2076,11,"Hanan",22,"Fayoum","Credit"
"148","dessert",1,492,1,"Farida",22,"Cairo","Cash"
"149","beef,citrus fruit,onions,herbs,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,brown bread,canned vegetables,bottled water,dish cleaner,abrasive cleaner,hygiene articles",15,1731,1,"Farida",22,"Cairo","Credit"
"150","bathroom cleaner",1,1829,11,"Hanan",22,"Fayoum","Cash"
"151","dessert,white bread",2,507,11,"Hanan",22,"Fayoum","Credit"
"152","root vegetables,sliced cheese,soda,bottled beer",4,2444,11,"Hanan",22,"Fayoum","Cash"
"153","sausage,other vegetables,pasta,oil,margarine,coffee,syrup,canned beer,napkins,light bulbs,shopping bags",11,1247,1,"Farida",22,"Cairo","Credit"
"154","other vegetables,yogurt,processed cheese,ketchup,bottled water,male cosmetics",6,419,11,"Hanan",22,"Fayoum","Credit"
"155","rolls/buns,white wine",2,1948,11,"Hanan",22,"Fayoum","Cash"
"156","yogurt,UHT-milk,rolls/buns",3,228,11,"Hanan",22,"Fayoum","Credit"
"157","rolls/buns,red/blush wine,newspapers",3,2183,1,"Farida",22,"Cairo","Cash"
"158","sausage,whole milk,curd,butter milk,whipped/sour cream",5,1026,1,"Farida",22,"Cairo","Cash"
"159","root vegetables,whole milk,yogurt,rolls/buns,pot plants",5,1090,1,"Farida",22,"Cairo","Credit"
"160","beef,tropical fruit,whole milk,ice cream,cat food",5,1692,1,"Farida",22,"Cairo","Cash"
"161","tropical fruit,sliced cheese,domestic eggs,zwieback",4,205,1,"Farida",22,"Cairo","Credit"
"162","bottled beer",1,2423,11,"Hanan",22,"Fayoum","Cash"
"163","citrus fruit,grapes,rolls/buns,pastry,coffee,soda",6,2191,11,"Hanan",22,"Fayoum","Cash"
"164","hamburger meat,pip fruit,whole milk,curd,beverages,brandy,male cosmetics,cookware,shopping bags",9,106,11,"Hanan",22,"Fayoum","Cash"
"165","rolls/buns",1,111,11,"Hanan",22,"Fayoum","Cash"
"166","sausage,root vegetables,other vegetables,whole milk,butter,whipped/sour cream,processed cheese,sugar,baking powder,jam,coffee,bottled water,soda,fruit/vegetable juice,salty snack,long life bakery product,candy,napkins",18,655,11,"Hanan",22,"Fayoum","Cash"
"167","soda,softener",2,1027,1,"Farida",22,"Cairo","Credit"
"168","chicken,hamburger meat,other vegetables,rolls/buns,shopping bags",5,1082,1,"Farida",22,"Cairo","Credit"
"169","dessert,UHT-milk,bottled water,soda,canned beer,chewing gum,softener,shopping bags",8,293,1,"Farida",22,"Cairo","Cash"
"170","soda",1,2274,1,"Farida",22,"Cairo","Cash"
"171","chocolate",1,636,11,"Hanan",22,"Fayoum","Cash"
"172","coffee,shopping bags",2,958,1,"Farida",22,"Cairo","Credit"
"173","citrus fruit,other vegetables,whole milk,yogurt,hard cheese,specialty cheese,rolls/buns,flour,cat food",9,2311,11,"Hanan",22,"Fayoum","Credit"
"174","cream cheese ,rolls/buns",2,320,1,"Farida",22,"Cairo","Cash"
"175","soda",1,341,1,"Farida",22,"Cairo","Credit"
"176","onions,other vegetables,rolls/buns,salt,chocolate,specialty bar,shopping bags",7,1530,11,"Hanan",22,"Fayoum","Cash"
"177","hamburger meat,pastry,soda,canned beer,detergent,softener,hygiene articles,shopping bags",8,1649,1,"Farida",22,"Cairo","Credit"
"178","hamburger meat,baking powder,sweet spreads",3,1318,11,"Hanan",22,"Fayoum","Credit"
"179","bottled water,fruit/vegetable juice,bottled beer,prosecco",4,1433,11,"Hanan",22,"Fayoum","Credit"
"180","tropical fruit,whole milk,hard cheese,rolls/buns,cat food,bottled water,dish cleaner",7,1929,11,"Hanan",22,"Fayoum","Credit"
"181","beverages,bottled water,misc. beverages",3,2138,1,"Farida",22,"Cairo","Credit"
"182","sausage,hard cheese,rolls/buns,canned vegetables,dog food",5,316,11,"Hanan",22,"Fayoum","Credit"
"183","ham,hamburger meat,citrus fruit,root vegetables,onions,other vegetables,whole milk,white bread,brown bread,sugar,soda,red/blush wine,dishes,shopping bags",14,1445,1,"Farida",22,"Cairo","Credit"
"184","pot plants",1,2415,11,"Hanan",22,"Fayoum","Credit"
"185","ham,dessert,frozen meals,frozen dessert,white bread,sweet spreads,soda,long life bakery product,specialty bar,hygiene articles,newspapers,shopping bags",12,1160,1,"Farida",22,"Cairo","Cash"
"186","ham,herbs,other vegetables,curd,yogurt,cream cheese ,light bulbs",7,176,1,"Farida",22,"Cairo","Credit"
"187","yogurt,sugar,instant coffee",3,1477,11,"Hanan",22,"Fayoum","Credit"
"188","curd,jam,shopping bags",3,491,1,"Farida",22,"Cairo","Cash"
"189","sausage,domestic eggs,coffee,soda",4,1727,11,"Hanan",22,"Fayoum","Cash"
"190","sausage,other vegetables,sliced cheese,rolls/buns,coffee,soda,shopping bags",7,800,1,"Farida",22,"Cairo","Cash"
"191","whole milk,sugar,pudding powder",3,868,11,"Hanan",22,"Fayoum","Credit"
"192","pork,beef,other vegetables,yogurt,shopping bags",5,212,1,"Farida",22,"Cairo","Cash"
"193","canned beer",1,2282,1,"Farida",22,"Cairo","Cash"
"194","oil,female sanitary products,cling film/bags",3,934,11,"Hanan",22,"Fayoum","Cash"
"195","beef,root vegetables,other vegetables,soda,bottled beer,hygiene articles",6,652,11,"Hanan",22,"Fayoum","Cash"
"196","pastry,sugar,bottled beer,long life bakery product,shopping bags",5,667,11,"Hanan",22,"Fayoum","Cash"
"197","sausage,whole milk,brown bread,pastry",4,132,1,"Farida",22,"Cairo","Cash"
"198","tropical fruit,frozen vegetables",2,197,11,"Hanan",22,"Fayoum","Cash"
"199","citrus fruit,tropical fruit,whole milk,rolls/buns,bottled water,long life bakery product,decalcifier,newspapers",8,1970,1,"Farida",22,"Cairo","Credit"
"200","whole milk,rolls/buns",2,664,1,"Farida",22,"Cairo","Credit"
"201","sausage,rolls/buns",2,242,1,"Farida",22,"Cairo","Credit"
"202","citrus fruit,coffee",2,2006,1,"Farida",22,"Cairo","Cash"
"203","rolls/buns",1,2186,1,"Farida",22,"Cairo","Cash"
"204","frankfurter,whole milk",2,1038,11,"Hanan",22,"Fayoum","Cash"
"205","onions,butter,roll products ,oil,napkins,newspapers",6,188,1,"Farida",22,"Cairo","Cash"
"206","sausage,pip fruit,whipped/sour cream,detergent,dental care",5,1021,11,"Hanan",22,"Fayoum","Cash"
"207","pastry",1,1309,1,"Farida",22,"Cairo","Credit"
"208","hamburger meat,other vegetables,whipped/sour cream,pastry,napkins",5,750,11,"Hanan",22,"Fayoum","Cash"
"209","whole milk,yogurt,whipped/sour cream,soft cheese,candy",5,2250,11,"Hanan",22,"Fayoum","Credit"
"210","napkins",1,887,11,"Hanan",22,"Fayoum","Cash"
"211","napkins,dishes",2,215,1,"Farida",22,"Cairo","Cash"
"212","other vegetables,rolls/buns,canned fish",3,1807,11,"Hanan",22,"Fayoum","Credit"
"213","soda",1,1852,11,"Hanan",22,"Fayoum","Cash"
"214","coffee",1,320,1,"Farida",22,"Cairo","Cash"
"215","canned beer",1,360,11,"Hanan",22,"Fayoum","Cash"
"216","whole milk,dessert",2,514,1,"Farida",22,"Cairo","Cash"
"217","whole milk,frozen vegetables",2,985,1,"Farida",22,"Cairo","Cash"
"218","domestic eggs,rolls/buns,soda",3,653,1,"Farida",22,"Cairo","Credit"
"219","soda,waffles",2,1410,1,"Farida",22,"Cairo","Cash"
"220","sliced cheese,rolls/buns,margarine,soda,shopping bags",5,1911,11,"Hanan",22,"Fayoum","Credit"
"221","candy",1,2076,11,"Hanan",22,"Fayoum","Cash"
"222","ham,beef,other vegetables,newspapers",4,1987,1,"Farida",22,"Cairo","Cash"
"223","rolls/buns,soda",2,1494,1,"Farida",22,"Cairo","Credit"
"224","citrus fruit",1,2171,1,"Farida",22,"Cairo","Credit"
"225","beef,citrus fruit,tropical fruit,pip fruit,dessert,cream cheese ,rolls/buns,chocolate",8,2005,1,"Farida",22,"Cairo","Cash"
"226","grapes,whole milk,baking powder,candles,photo/film",5,584,1,"Farida",22,"Cairo","Cash"
"227","meat,specialty bar",2,1998,11,"Hanan",22,"Fayoum","Credit"
"228","other vegetables,whipped/sour cream,pastry,red/blush wine",4,2403,1,"Farida",22,"Cairo","Cash"
"229","canned beer",1,1261,11,"Hanan",22,"Fayoum","Cash"
"230","coffee",1,2358,11,"Hanan",22,"Fayoum","Credit"
"231","citrus fruit,tropical fruit,pip fruit,other vegetables",4,1504,1,"Farida",22,"Cairo","Cash"
"232","whole milk",1,1488,11,"Hanan",22,"Fayoum","Cash"
"233","pork,white bread,pastry,shopping bags",4,937,11,"Hanan",22,"Fayoum","Cash"
"234","pastry,soda",2,326,1,"Farida",22,"Cairo","Cash"
"235","tropical fruit,grapes,whole milk,canned fish,bottled water,fruit/vegetable juice",6,1889,1,"Farida",22,"Cairo","Credit"
"236","pip fruit,whole milk",2,2365,11,"Hanan",22,"Fayoum","Cash"
"237","misc. beverages",1,573,11,"Hanan",22,"Fayoum","Credit"
"238","pork,bottled water,bottled beer",3,279,1,"Farida",22,"Cairo","Credit"
"239","onions,other vegetables,whole milk,soups,bottled beer,pot plants",6,1608,1,"Farida",22,"Cairo","Credit"
"240","pip fruit,napkins",2,1738,11,"Hanan",22,"Fayoum","Credit"
"241","root vegetables,red/blush wine",2,442,1,"Farida",22,"Cairo","Cash"
"242","rolls/buns,fruit/vegetable juice",2,336,1,"Farida",22,"Cairo","Cash"
"243","butter,whipped/sour cream,domestic eggs,rolls/buns",4,658,11,"Hanan",22,"Fayoum","Credit"
"244","tropical fruit,sliced cheese,rolls/buns,napkins,pot plants",5,1141,1,"Farida",22,"Cairo","Cash"
"245","tropical fruit,pip fruit,root vegetables,other vegetables,dessert,whipped/sour cream,sliced cheese,pastry,shopping bags",9,1941,1,"Farida",22,"Cairo","Credit"
"246","UHT-milk,pastry,coffee,red/blush wine,pot plants",5,1488,1,"Farida",22,"Cairo","Credit"
"247","frankfurter,pork,citrus fruit,pip fruit,other vegetables,whipped/sour cream,UHT-milk,salad dressing,frozen potato products,salty snack,newspapers",11,2423,1,"Farida",22,"Cairo","Cash"
"248","bottled water",1,2023,1,"Farida",22,"Cairo","Credit"
"249","bottled water,liquor (appetizer),specialty bar",3,407,1,"Farida",22,"Cairo","Cash"
"250","sausage,ham,meat,pork,tropical fruit,pip fruit,grapes,other vegetables,whole milk,butter,whipped/sour cream,frozen meals,frozen fish,ice cream,domestic eggs,pastry,soda,syrup,detergent",19,1605,1,"Farida",22,"Cairo","Cash"
"251","whole milk,bottled beer",2,2369,11,"Hanan",22,"Fayoum","Cash"
"252","other vegetables,curd,pastry,Instant food products,salty snack,cake bar,chewing gum,napkins",8,1033,11,"Hanan",22,"Fayoum","Credit"
"253","beef,whole milk,butter,rolls/buns,cat food,bottled beer",6,495,11,"Hanan",22,"Fayoum","Cash"
"254","sausage",1,2316,11,"Hanan",22,"Fayoum","Credit"
"255","ham,tropical fruit,specialty cheese,long life bakery product,hygiene articles,newspapers",6,1179,11,"Hanan",22,"Fayoum","Credit"
"256","whole milk,bottled water,fruit/vegetable juice",3,1548,1,"Farida",22,"Cairo","Credit"
"257","hard cheese,newspapers",2,2214,11,"Hanan",22,"Fayoum","Cash"
"258","ice cream,soda,bottled beer,salty snack",4,171,1,"Farida",22,"Cairo","Credit"
"259","canned beer",1,1873,1,"Farida",22,"Cairo","Cash"
"260","berries,other vegetables,yogurt",3,1023,11,"Hanan",22,"Fayoum","Cash"
"261","pork,pip fruit,other vegetables,whole milk,yogurt,ketchup,pickled vegetables,soda,detergent",9,2111,11,"Hanan",22,"Fayoum","Credit"
"262","curd,yogurt,waffles",3,2393,1,"Farida",22,"Cairo","Cash"
"263","other vegetables,frozen vegetables,pastry,specialty bar",4,1591,11,"Hanan",22,"Fayoum","Cash"
"264","root vegetables,frozen meals,white bread,snack products,hygiene articles",5,2061,1,"Farida",22,"Cairo","Cash"
